Idade,Atrito,Viagens de negócios,Taxa Diária,Departamento,Distância de casa,Educação,Campo de Educação,Contagem de funcionários,Número do funcionário,Satisfação Ambiental,Gênero,Taxa horária,Envolvimento no Trabalho,Nível do trabalho,Função do Trabalho,Satisfação no Trabalho,Estado civil,Renda Mensal,Taxa Mensal,NumCompaniesWorked,Maiores de 18 anos,Ao longo do tempo,PorcentagemSalárioCaminhada,Classificação de desempenho,RelacionamentoSatisfação,Horas Padrão,Nível de opção de estoque,Total de anos de trabalho,Tempos de treinamentoÚltimo ano,WorkLifeBalance,AnosNaEmpresa,Anos na função atual,AnosDesdeÚltimaPromoção,AnosComCurrManager
38,Não,Viajar_Raramente,371,Pesquisa e Desenvolvimento,2,3,Ciências da Vida,1,24,4,Macho,45,3,1,Cientista Pesquisador,4,Solteiro,3944,4306,5,S,Sim,11,3,3,80,0,6,3,3,3,2,1,2
24,Não,Não viagem,673,Pesquisa e Desenvolvimento,11,2,Outro,1,26,1,Fêmea,96,4,2,Diretor de Manufatura,3,Divorciado,4011,8232,0,S,Não,18,3,4,80,1,5,5,2,4,2,1,3
36,Sim,Viajar_Raramente,1218,Vendas,9,4,Ciências da Vida,1,27,3,Macho,82,2,1,Representante de vendas,1,Solteiro,3407,6986,7,S,Não,23,4,2,80,0,10,4,3,5,3,0,3
34,Não,Viajar_Raramente,419,Pesquisa e Desenvolvimento,7,4,Ciências da Vida,1,28,1,Fêmea,53,3,3,Diretor de Pesquisa,2,Solteiro,11994,21293,0,S,Não,11,3,3,80,0,13,4,3,12,6,2,11
21,Não,Viajar_Raramente,391,Pesquisa e Desenvolvimento,15,2,Ciências da Vida,1,30,3,Macho,96,3,1,Cientista Pesquisador,4,Solteiro,1232,19281,1,S,Não,14,3,4,80,0,0,6,3,0,0,0,0
34,Sim,Viajar_Raramente,699,Pesquisa e Desenvolvimento,6,1,Médico,1,31,2,Macho,83,3,1,Cientista Pesquisador,1,Solteiro,2960,17102,2,S,Não,11,3,3,80,0,8,2,3,4,2,1,3
53,Não,Viajar_Raramente,1282,Pesquisa e Desenvolvimento,5,3,Outro,1,32,3,Fêmea,58,3,5,Gerente,3,Divorciado,19094,10735,4,S,Não,11,3,4,80,1,26,3,2,14,13,4,8
32,Sim,Viajar_Frequentemente,1125,Pesquisa e Desenvolvimento,16,1,Ciências da Vida,1,33,2,Fêmea,72,1,1,Cientista Pesquisador,1,Solteiro,3919,4681,1,S,Sim,22,4,2,80,0,10,5,3,10,2,6,7
42,Não,Viajar_Raramente,691,Vendas,8,4,Marketing,1,35,3,Macho,48,3,2,Executivo de vendas,2,Casado,6825,21173,0,S,Não,11,3,4,80,1,10,2,3,9,7,4,2
44,Não,Viajar_Raramente,477,Pesquisa e Desenvolvimento,7,4,Médico,1,36,1,Fêmea,42,2,3,Representante de saúde,4,Casado,10248,2094,3,S,Não,14,3,4,80,1,24,4,3,22,6,5,17
46,Não,Viajar_Raramente,705,Vendas,2,4,Marketing,1,38,2,Fêmea,83,3,5,Gerente,1,Solteiro,18947,22822,3,S,Não,12,3,4,80,0,22,2,2,2,2,2,1
33,Não,Viajar_Raramente,924,Pesquisa e Desenvolvimento,2,3,Médico,1,39,3,Macho,78,3,1,Técnico de Laboratório,4,Solteiro,2496,6670,4,S,Não,11,3,4,80,0,7,3,3,1,1,0,0
44,Não,Viajar_Raramente,1459,Pesquisa e Desenvolvimento,10,4,Outro,1,40,4,Macho,41,3,2,Representante de saúde,4,Casado,6465,19121,2,S,Sim,13,3,4,80,0,9,5,4,4,2,1,3
30,Não,Viajar_Raramente,125,Pesquisa e Desenvolvimento,9,2,Médico,1,41,4,Macho,83,2,1,Técnico de Laboratório,3,Solteiro,2206,16117,1,S,Não,13,3,1,80,0,10,5,3,10,0,1,8
39,Sim,Viajar_Raramente,895,Vendas,5,3,Grau Técnico,1,42,4,Macho,56,3,2,Representante de vendas,4,Casado,2086,3335,3,S,Não,14,3,3,80,1,19,6,4,1,0,0,0
24,Sim,Viajar_Raramente,813,Pesquisa e Desenvolvimento,1,3,Médico,1,45,2,Macho,61,3,1,Cientista Pesquisador,4,Casado,2293,3020,2,S,Sim,16,3,1,80,1,6,2,2,2,0,2,0
43,Não,Viajar_Raramente,1273,Pesquisa e Desenvolvimento,2,2,Médico,1,46,4,Fêmea,72,4,1,Cientista Pesquisador,3,Divorciado,2645,21923,1,S,Não,12,3,4,80,2,6,3,2,5,3,1,4
50,Sim,Viajar_Raramente,869,Vendas,3,2,Marketing,1,47,1,Macho,86,2,1,Representante de vendas,3,Casado,2683,3810,1,S,Sim,14,3,3,80,0,3,2,3,3,2,0,2
35,Não,Viajar_Raramente,890,Vendas,2,3,Marketing,1,49,4,Fêmea,97,3,1,Representante de vendas,4,Casado,2014,9687,1,S,Não,13,3,1,80,0,2,3,3,2,2,2,2
36,Não,Viajar_Raramente,852,Pesquisa e Desenvolvimento,5,4,Ciências da Vida,1,51,2,Fêmea,82,2,1,Cientista Pesquisador,1,Casado,3419,13072,9,S,Sim,14,3,4,80,1,6,3,4,1,1,0,0
33,Não,Viajar_Frequentemente,1141,Vendas,1,3,Ciências da Vida,1,52,3,Fêmea,42,4,2,Executivo de vendas,1,Casado,5376,3193,2,S,Não,19,3,1,80,2,10,3,3,5,3,1,3
35,Não,Viajar_Raramente,464,Pesquisa e Desenvolvimento,4,2,Outro,1,53,3,Macho,75,3,1,Técnico de Laboratório,4,Divorciado,1951,10910,1,S,Não,12,3,3,80,1,1,3,3,1,0,0,0
27,Não,Viajar_Raramente,1240,Pesquisa e Desenvolvimento,2,4,Ciências da Vida,1,54,4,Fêmea,33,3,1,Técnico de Laboratório,1,Divorciado,2341,19715,1,S,Não,13,3,4,80,1,1,6,3,1,0,0,0
26,Sim,Viajar_Raramente,1357,Pesquisa e Desenvolvimento,25,3,Ciências da Vida,1,55,1,Macho,48,1,1,Técnico de Laboratório,3,Solteiro,2293,10558,1,S,Não,12,3,3,80,0,1,2,2,1,0,0,1
27,Não,Viajar_Frequentemente,994,Vendas,8,3,Ciências da Vida,1,56,4,Macho,37,3,3,Executivo de vendas,3,Solteiro,8726,2975,1,S,Não,15,3,4,80,0,9,0,3,9,8,1,7
30,Não,Viajar_Frequentemente,721,Pesquisa e Desenvolvimento,1,2,Médico,1,57,3,Fêmea,58,3,2,Técnico de Laboratório,4,Solteiro,4011,10781,1,S,Não,23,4,4,80,0,12,2,3,12,8,3,7
41,Sim,Viajar_Raramente,1360,Pesquisa e Desenvolvimento,12,3,Grau Técnico,1,58,2,Fêmea,49,3,5,Diretor de Pesquisa,3,Casado,19545,16280,1,S,Não,12,3,4,80,0,23,0,3,22,15,15,8
34,Não,Não viagem,1065,Vendas,23,4,Marketing,1,60,2,Macho,72,3,2,Executivo de vendas,3,Solteiro,4568,10034,0,S,Não,20,4,3,80,0,10,2,3,9,5,8,7
37,Não,Viajar_Raramente,408,Pesquisa e Desenvolvimento,19,2,Ciências da Vida,1,61,2,Macho,73,3,1,Cientista Pesquisador,2,Casado,3022,10227,4,S,Não,21,4,1,80,0,8,1,3,1,0,0,0
46,Não,Viajar_Frequentemente,1211,Vendas,5,4,Marketing,1,62,1,Macho,98,3,2,Executivo de vendas,4,Solteiro,5772,20445,4,S,Sim,21,4,3,80,0,14,4,3,9,6,0,8
35,Não,Viajar_Raramente,1229,Pesquisa e Desenvolvimento,8,1,Ciências da Vida,1,63,4,Macho,36,4,1,Técnico de Laboratório,4,Casado,2269,4892,1,S,Não,19,3,4,80,0,1,2,3,1,0,0,1
48,Sim,Viajar_Raramente,626,Pesquisa e Desenvolvimento,1,2,Ciências da Vida,1,64,1,Macho,98,2,3,Técnico de Laboratório,3,Solteiro,5381,19294,9,S,Sim,13,3,4,80,0,23,2,3,1,0,0,0
28,Sim,Viajar_Raramente,1434,Pesquisa e Desenvolvimento,5,4,Grau Técnico,1,65,3,Macho,50,3,1,Técnico de Laboratório,3,Solteiro,3441,11179,1,S,Sim,13,3,3,80,0,2,3,2,2,2,2,2
44,Não,Viajar_Raramente,1488,Vendas,1,5,Marketing,1,68,2,Fêmea,75,3,2,Executivo de vendas,1,Divorciado,5454,4009,5,S,Sim,21,4,3,80,1,9,2,2,4,3,1,3
35,Não,Não viagem,1097,Pesquisa e Desenvolvimento,11,2,Médico,1,70,3,Macho,79,2,3,Representante de saúde,1,Casado,9884,8302,2,S,Sim,13,3,3,80,1,10,3,3,4,0,2,3
26,Não,Viajar_Raramente,1443,Vendas,23,3,Marketing,1,72,3,Fêmea,47,2,2,Executivo de vendas,4,Casado,4157,21436,7,S,Sim,19,3,3,80,1,5,2,2,2,2,0,0
33,Não,Viajar_Frequentemente,515,Pesquisa e Desenvolvimento,1,2,Ciências da Vida,1,73,1,Fêmea,98,3,3,Diretor de Pesquisa,4,Solteiro,13458,15146,1,S,Sim,12,3,3,80,0,15,1,3,15,14,8,12
35,Não,Viajar_Frequentemente,853,Vendas,18,5,Ciências da Vida,1,74,2,Macho,71,3,3,Executivo de vendas,1,Casado,9069,11031,1,S,Não,22,4,4,80,1,9,3,2,9,8,1,8
35,Não,Viajar_Raramente,1142,Pesquisa e Desenvolvimento,23,4,Médico,1,75,3,Fêmea,30,3,1,Técnico de Laboratório,1,Casado,4014,16002,3,S,Sim,15,3,3,80,1,4,3,3,2,2,2,2
31,Não,Viajar_Raramente,655,Pesquisa e Desenvolvimento,7,4,Ciências da Vida,1,76,4,Macho,48,3,2,Técnico de Laboratório,4,Divorciado,5915,9528,3,S,Não,22,4,4,80,1,10,3,2,7,7,1,7
37,Não,Viajar_Raramente,1115,Pesquisa e Desenvolvimento,1,4,Ciências da Vida,1,77,1,Macho,51,2,2,Diretor de Manufatura,3,Divorciado,5993,2689,1,S,Não,18,3,3,80,1,7,2,4,7,5,0,7
32,Não,Viajar_Raramente,427,Pesquisa e Desenvolvimento,1,3,Médico,1,78,1,Macho,33,3,2,Diretor de Manufatura,4,Casado,6162,10877,1,S,Sim,22,4,2,80,1,9,3,3,9,8,7,8
38,Não,Viajar_Frequentemente,653,Pesquisa e Desenvolvimento,29,5,Ciências da Vida,1,79,4,Fêmea,50,3,2,Técnico de Laboratório,4,Solteiro,2406,5456,1,S,Não,11,3,4,80,0,10,2,3,10,3,9,9
50,Não,Viajar_Raramente,989,Pesquisa e Desenvolvimento,7,2,Médico,1,80,2,Fêmea,43,2,5,Diretor de Pesquisa,3,Divorciado,18740,16701,5,S,Sim,12,3,4,80,1,29,2,2,27,3,13,8
59,Não,Viajar_Raramente,1435,Vendas,25,3,Ciências da Vida,1,81,1,Fêmea,99,3,3,Executivo de vendas,1,Solteiro,7637,2354,7,S,Não,11,3,4,80,0,28,3,2,21,16,7,9
36,Não,Viajar_Raramente,1223,Pesquisa e Desenvolvimento,8,3,Grau Técnico,1,83,3,Fêmea,59,3,3,Representante de saúde,3,Divorciado,10096,8202,1,S,Não,13,3,2,80,3,17,2,3,17,14,12,8
55,Não,Viajar_Raramente,836,Pesquisa e Desenvolvimento,8,3,Médico,1,84,4,Fêmea,33,3,4,Gerente,3,Divorciado,14756,19730,2,S,Sim,14,3,3,80,3,21,2,3,5,0,0,2
36,Não,Viajar_Frequentemente,1195,Pesquisa e Desenvolvimento,11,3,Ciências da Vida,1,85,2,Macho,95,2,2,Diretor de Manufatura,2,Solteiro,6499,22656,1,S,Não,13,3,3,80,0,6,3,3,6,5,0,3
45,Não,Viajar_Raramente,1339,Pesquisa e Desenvolvimento,7,3,Ciências da Vida,1,86,2,Macho,59,3,3,Cientista Pesquisador,1,Divorciado,9724,18787,2,S,Não,17,3,3,80,1,25,2,3,1,0,0,0
35,Não,Viajar_Frequentemente,664,Pesquisa e Desenvolvimento,1,3,Médico,1,88,2,Macho,79,3,1,Cientista Pesquisador,1,Casado,2194,5868,4,S,Não,13,3,4,80,1,5,2,2,3,2,1,2
36,Sim,Viajar_Raramente,318,Pesquisa e Desenvolvimento,9,3,Médico,1,90,4,Macho,79,2,1,Cientista Pesquisador,3,Casado,3388,21777,0,S,Sim,17,3,1,80,1,2,0,2,1,0,0,0
59,Não,Viajar_Frequentemente,1225,Vendas,1,1,Ciências da Vida,1,91,1,Fêmea,57,2,2,Executivo de vendas,3,Solteiro,5473,24668,7,S,Não,11,3,4,80,0,20,2,2,4,3,1,3
29,Não,Viajar_Raramente,1328,Pesquisa e Desenvolvimento,2,3,Ciências da Vida,1,94,3,Macho,76,3,1,Cientista Pesquisador,2,Casado,2703,4956,0,S,Não,23,4,4,80,1,6,3,3,5,4,0,4
31,Não,Viajar_Raramente,1082,Pesquisa e Desenvolvimento,1,4,Médico,1,95,3,Macho,87,3,1,Cientista Pesquisador,2,Solteiro,2501,18775,1,S,Não,17,3,2,80,0,1,4,3,1,1,1,0
32,Não,Viajar_Raramente,548,Pesquisa e Desenvolvimento,1,3,Ciências da Vida,1,96,2,Macho,66,3,2,Cientista Pesquisador,2,Casado,6220,7346,1,S,Não,17,3,2,80,2,10,3,3,10,4,0,9
36,Não,Viajar_Raramente,132,Pesquisa e Desenvolvimento,6,3,Ciências da Vida,1,97,2,Fêmea,55,4,1,Técnico de Laboratório,4,Casado,3038,22002,3,S,Não,12,3,2,80,0,5,3,3,1,0,0,0
31,Não,Viajar_Raramente,746,Pesquisa e Desenvolvimento,8,4,Ciências da Vida,1,98,3,Fêmea,61,3,2,Diretor de Manufatura,4,Solteiro,4424,20682,1,S,Não,23,4,4,80,0,11,2,3,11,7,1,8
35,Não,Viajar_Raramente,776,Vendas,1,4,Marketing,1,100,3,Macho,32,2,2,Executivo de vendas,1,Solteiro,4312,23016,0,S,Não,14,3,2,80,0,16,2,3,15,13,2,8
45,Não,Viajar_Raramente,193,Pesquisa e Desenvolvimento,6,4,Outro,1,101,4,Macho,52,3,3,Diretor de Pesquisa,1,Casado,13245,15067,4,S,Sim,14,3,2,80,0,17,3,4,0,0,0,0
37,Não,Viajar_Raramente,397,Pesquisa e Desenvolvimento,7,4,Médico,1,102,1,Macho,30,3,3,Diretor de Pesquisa,3,Solteiro,13664,25258,4,S,Não,13,3,1,80,0,16,3,4,5,2,0,2
46,Não,Viajar_Raramente,945,Recursos Humanos,5,2,Médico,1,103,2,Macho,80,3,2,Recursos Humanos,2,Divorciado,5021,10425,8,S,Sim,22,4,4,80,1,16,2,3,4,2,0,2
30,Não,Viajar_Raramente,852,Pesquisa e Desenvolvimento,1,1,Ciências da Vida,1,104,4,Macho,55,2,2,Técnico de Laboratório,4,Casado,5126,15998,1,S,Sim,12,3,3,80,2,10,1,2,10,8,3,0
35,Não,Viajar_Raramente,1214,Pesquisa e Desenvolvimento,1,3,Médico,1,105,2,Macho,30,2,1,Cientista Pesquisador,3,Solteiro,2859,26278,1,S,Não,18,3,1,80,0,6,3,3,6,4,0,4
55,Não,Viajar_Raramente,111,Vendas,1,2,Ciências da Vida,1,106,1,Macho,70,3,3,Executivo de vendas,4,Casado,10239,18092,3,S,Não,14,3,4,80,1,24,4,3,1,0,1,0
38,Não,Não viagem,573,Pesquisa e Desenvolvimento,6,3,Médico,1,107,2,Fêmea,79,1,2,Cientista Pesquisador,4,Divorciado,5329,15717,7,S,Sim,12,3,4,80,3,17,3,3,13,11,1,9
34,Não,Viajar_Raramente,1153,Pesquisa e Desenvolvimento,1,2,Médico,1,110,1,Macho,94,3,2,Diretor de Manufatura,2,Casado,4325,17736,1,S,Não,15,3,3,80,0,5,2,3,5,2,1,3
56,Não,Viajar_Raramente,1400,Pesquisa e Desenvolvimento,7,3,Ciências da Vida,1,112,4,Macho,49,1,3,Diretor de Manufatura,4,Solteiro,7260,21698,4,S,Não,11,3,1,80,0,37,3,2,6,4,0,2
23,Não,Viajar_Raramente,541,Vendas,2,1,Grau Técnico,1,113,3,Macho,62,3,1,Representante de vendas,1,Divorciado,2322,9518,3,S,Não,13,3,3,80,1,3,3,3,0,0,0,0
51,Não,Viajar_Raramente,432,Pesquisa e Desenvolvimento,9,4,Ciências da Vida,1,116,4,Macho,96,3,1,Técnico de Laboratório,4,Casado,2075,18725,3,S,Não,23,4,2,80,2,10,4,3,4,2,0,3
30,Não,Viajar_Raramente,288,Pesquisa e Desenvolvimento,2,3,Ciências da Vida,1,117,3,Macho,99,2,2,Representante de saúde,4,Casado,4152,15830,1,S,Não,19,3,1,80,3,11,3,3,11,10,10,8
46,Sim,Viajar_Raramente,669,Vendas,9,2,Médico,1,118,3,Macho,64,2,3,Executivo de vendas,4,Solteiro,9619,13596,1,S,Não,16,3,4,80,0,9,3,3,9,8,4,7
40,Não,Viajar_Frequentemente,530,Pesquisa e Desenvolvimento,1,4,Ciências da Vida,1,119,3,Macho,78,2,4,Representante de saúde,2,Casado,13503,14115,1,S,Não,22,4,4,80,1,22,3,2,22,3,11,11
51,Não,Viajar_Raramente,632,Vendas,21,4,Marketing,1,120,3,Macho,71,3,2,Executivo de vendas,4,Solteiro,5441,8423,0,S,Sim,22,4,4,80,0,11,2,1,10,7,1,0
30,Não,Viajar_Raramente,1334,Vendas,4,2,Médico,1,121,3,Fêmea,63,2,2,Executivo de vendas,2,Divorciado,5209,19760,1,S,Sim,12,3,2,80,3,11,4,2,11,8,2,7
46,Não,Viajar_Frequentemente,638,Pesquisa e Desenvolvimento,1,3,Médico,1,124,3,Macho,40,2,3,Representante de saúde,1,Casado,10673,3142,2,S,Sim,13,3,3,80,1,21,5,2,10,9,9,5
32,Não,Viajar_Raramente,1093,Vendas,6,4,Médico,1,125,2,Macho,87,3,2,Executivo de vendas,3,Solteiro,5010,24301,1,S,Não,16,3,1,80,0,12,0,3,11,8,5,7
54,Não,Viajar_Raramente,1217,Pesquisa e Desenvolvimento,2,4,Grau Técnico,1,126,1,Fêmea,60,3,3,Diretor de Pesquisa,3,Casado,13549,24001,9,S,Não,12,3,1,80,1,16,5,1,4,3,0,3
24,Não,Viajar_Raramente,1353,Vendas,3,2,Outro,1,128,1,Fêmea,33,3,2,Executivo de vendas,3,Casado,4999,17519,0,S,Não,21,4,1,80,1,4,2,2,3,2,0,2
28,Não,Não viagem,120,Vendas,4,3,Médico,1,129,2,Macho,43,3,2,Executivo de vendas,3,Casado,4221,8863,1,S,Não,15,3,2,80,0,5,3,4,5,4,0,4
58,Não,Viajar_Raramente,682,Vendas,10,4,Médico,1,131,4,Macho,37,3,4,Executivo de vendas,3,Solteiro,13872,24409,0,S,Não,13,3,3,80,0,38,1,2,37,10,1,8
44,Não,Não viagem,489,Pesquisa e Desenvolvimento,23,3,Médico,1,132,2,Macho,67,3,2,Técnico de Laboratório,2,Casado,2042,25043,4,S,Não,12,3,3,80,1,17,3,4,3,2,1,2
37,Sim,Viajar_Raramente,807,Recursos Humanos,6,4,Recursos Humanos,1,133,3,Macho,63,3,1,Recursos Humanos,1,Divorciado,2073,23648,4,S,Sim,22,4,4,80,0,7,3,3,3,2,0,2
32,Não,Viajar_Raramente,827,Pesquisa e Desenvolvimento,1,1,Ciências da Vida,1,134,4,Macho,71,3,1,Cientista Pesquisador,1,Solteiro,2956,15178,1,S,Não,13,3,4,80,0,1,2,3,1,0,0,0
20,Sim,Viajar_Frequentemente,871,Pesquisa e Desenvolvimento,6,3,Ciências da Vida,1,137,4,Fêmea,66,2,1,Técnico de Laboratório,4,Solteiro,2926,19783,1,S,Sim,18,3,2,80,0,1,5,3,1,0,1,0
34,Não,Viajar_Raramente,665,Pesquisa e Desenvolvimento,6,4,Outro,1,138,1,Fêmea,41,3,2,Cientista Pesquisador,3,Solteiro,4809,12482,1,S,Não,14,3,3,80,0,16,3,3,16,13,2,10
37,Não,Não viagem,1040,Pesquisa e Desenvolvimento,2,2,Ciências da Vida,1,139,3,Macho,100,2,2,Representante de saúde,4,Divorciado,5163,15850,5,S,Não,14,3,4,80,1,17,2,4,1,0,0,0
59,Não,Não viagem,1420,Recursos Humanos,2,4,Recursos Humanos,1,140,3,Fêmea,32,2,5,Gerente,4,Casado,18844,21922,9,S,Não,21,4,4,80,1,30,3,3,3,2,2,2
50,Não,Viajar_Frequentemente,1115,Pesquisa e Desenvolvimento,1,3,Ciências da Vida,1,141,1,Fêmea,73,3,5,Diretor de Pesquisa,2,Casado,18172,9755,3,S,Sim,19,3,1,80,0,28,1,2,8,3,0,7
25,Sim,Viajar_Raramente,240,Vendas,5,3,Marketing,1,142,3,Macho,46,2,2,Executivo de vendas,3,Solteiro,5744,26959,1,S,Sim,11,3,4,80,0,6,1,3,6,4,0,3
25,Não,Viajar_Raramente,1280,Pesquisa e Desenvolvimento,7,1,Médico,1,143,4,Macho,64,2,1,Cientista Pesquisador,4,Casado,2889,26897,1,S,Não,11,3,3,80,2,2,2,3,2,2,2,1
22,Não,Viajar_Raramente,534,Pesquisa e Desenvolvimento,15,3,Médico,1,144,2,Fêmea,59,3,1,Técnico de Laboratório,4,Solteiro,2871,23785,1,S,Não,15,3,3,80,0,1,5,3,0,0,0,0
51,Não,Viajar_Frequentemente,1456,Pesquisa e Desenvolvimento,1,4,Médico,1,145,1,Fêmea,30,2,3,Representante de saúde,1,Solteiro,7484,25796,3,S,Não,20,4,3,80,0,23,1,2,13,12,12,8
34,Sim,Viajar_Frequentemente,658,Pesquisa e Desenvolvimento,7,3,Ciências da Vida,1,147,1,Macho,66,1,2,Técnico de Laboratório,3,Solteiro,6074,22887,1,S,Sim,24,4,4,80,0,9,3,3,9,7,0,6
54,Não,Não viagem,142,Recursos Humanos,26,3,Recursos Humanos,1,148,4,Fêmea,30,4,4,Gerente,4,Solteiro,17328,13871,2,S,Sim,12,3,3,80,0,23,3,3,5,3,4,4
24,Não,Viajar_Raramente,1127,Pesquisa e Desenvolvimento,18,1,Ciências da Vida,1,150,2,Macho,52,3,1,Técnico de Laboratório,3,Casado,2774,13257,0,S,Não,12,3,3,80,1,6,2,3,5,3,1,2
34,Não,Viajar_Raramente,1031,Pesquisa e Desenvolvimento,6,4,Ciências da Vida,1,151,3,Fêmea,45,2,2,Cientista Pesquisador,2,Divorciado,4505,15000,6,S,Não,15,3,3,80,1,12,3,3,1,0,0,0
37,Não,Viajar_Raramente,1189,Vendas,3,3,Ciências da Vida,1,152,3,Macho,87,3,3,Executivo de vendas,4,Solteiro,7428,14506,2,S,Não,12,3,1,80,0,12,3,3,5,3,1,3
34,Não,Viajar_Raramente,1354,Pesquisa e Desenvolvimento,5,3,Médico,1,153,3,Fêmea,45,2,3,Gerente,1,Solteiro,11631,5615,2,S,Não,12,3,4,80,0,14,6,3,11,10,5,8
36,Não,Viajar_Frequentemente,1467,Vendas,11,2,Grau Técnico,1,154,2,Fêmea,92,3,3,Executivo de vendas,4,Casado,9738,22952,0,S,Não,14,3,3,80,1,10,6,3,9,7,2,8
